Species_W&R05,Species_W&R93,Clade,Order,Family,AdultBodyMass_g,MaxLongevity_m,CitationCountMarch2011,PSR,WBC
Acinonyx jubatus,Acinonyx jubatus,C,CARNIVORA,FELIDAE,50577.92,228,1289,22,10.35
Addax nasomaculatus,Addax nasomaculatus,U,CETARTIODACTYLA,BOVIDAE,96077.36,308.04,134,1,6.689
Aepyceros melampus,Aepyceros melampus,U,CETARTIODACTYLA,BOVIDAE,52591.69,213,990,77,3.5
Ailuropoda melanoleuca,Ailuropoda melanoleuca,C,CARNIVORA,URSIDAE,117999.99,360,1525,4,NA
Ailurus fulgens,Ailurus fulgens,C,CARNIVORA,AILURIDAE,5170.08,168,441,2,7.281
Alcelaphus buselaphus,Alcelaphus buselaphus,U,CETARTIODACTYLA,BOVIDAE,160937.86,240,385,30,5.087
Alces alces,Alces alces,U,CETARTIODACTYLA,CERVIDAE,461900.76,324,4457,46,6.409
Allenopithecus nigroviridis,Allenopithecus nigroviridis,P,PRIMATES,CERCOPITHECIDAE,4749.96,276,41,2,8.238
Alouatta caraya,Alouatta caraya,P,PRIMATES,ATELIDAE,5576.96,243.6,394,23,14.4
Alouatta palliata,Alouatta palliata,P,PRIMATES,ATELIDAE,6576.99,300,790,26,NA
Alouatta pigra,Alouatta pigra,P,PRIMATES,ATELIDAE,7172.06,240,246,8,NA
Alouatta seniculus,Alouatta seniculus,P,PRIMATES,ATELIDAE,6398.31,300,495,40,NA
Antilocapra americana,Antilocapra americana,U,CETARTIODACTYLA,ANTILOCAPRIDAE,47450.01,144,877,19,6.319
Antilope cervicapra,Antilope cervicapra,U,CETARTIODACTYLA,BOVIDAE,36301.1,243,372,10,4.076
Aotus azarae,Aotus azarai,P,PRIMATES,AOTIDAE,929.57,360,184,13,15.63
Aotus trivirgatus,Aotus trivirgatus,P,PRIMATES,AOTIDAE,912.4,303.6,1763,16,10.58
Arctictis binturong,Arctictis binturong,C,CARNIVORA,VIVERRIDAE,12999.99,272.4,107,1,12.55
Arctocebus calabarensis,Arctocebus calabarensis,P,PRIMATES,LORISIDAE,258.01,156,52,2,NA
Ateles belzebuth,Ateles belzebuth,P,PRIMATES,ATELIDAE,6692.42,336,184,2,16.12
Ateles fusciceps,Ateles fusciceps,P,PRIMATES,ATELIDAE,9067.94,288,88,13,13.61
Ateles geoffroyi,Ateles geoffroyi,P,PRIMATES,ATELIDAE,7582.4,327.6,707,14,12.98
Ateles paniscus,Ateles paniscus,P,PRIMATES,ATELIDAE,8697.25,453.6,230,18,13.06
Atilax paludinosus,Atilax paludinosus,C,CARNIVORA,HERPESTIDAE,3600.16,209,80,1,NA
Axis axis,Axis axis,U,CETARTIODACTYLA,CERVIDAE,69499.99,249.6,572,22,4.281
Axis porcinus,Axis porcinus,U,CETARTIODACTYLA,CERVIDAE,37448.29,240,115,2,4.214
Bassariscus astutus,Bassariscus astutus,C,CARNIVORA,PROCYONIDAE,1010.37,198,129,1,5.727
Bison bison,Bison bison,U,CETARTIODACTYLA,BOVIDAE,624577.07,396,1730,37,7.186
Bison bonasus,Bison bonasus,U,CETARTIODACTYLA,BOVIDAE,675876.7,324,931,49,6.471
Blastocerus dichotomus,Blastocerus dichotomus,U,CETARTIODACTYLA,CERVIDAE,112518.53,164.4,110,7,NA
Bos frontalis,Bos frontalis,U,CETARTIODACTYLA,BOVIDAE,800143.05,314.4,365,4,8.741
Bos grunniens,Bos grunniens,U,CETARTIODACTYLA,BOVIDAE,5.00E+05,267,649,2,8.446
Boselaphus tragocamelus,Boselaphus tragocamelus,U,CETARTIODACTYLA,BOVIDAE,182253.04,260.4,282,1,4.847
Brachyteles arachnoides,Brachyteles arachnoides,P,PRIMATES,ATELIDAE,10537.31,360,302,8,NA
Bunopithecus hoolock,Hylobates hoolock,P,PRIMATES,HYLOBATIDAE,6699,492,189,1,NA
Cacajao calvus,Cacajao calvus,P,PRIMATES,PITHECIIDAE,3421.04,324,62,2,NA
Callicebus cupreus,Callicebus cupreus,P,PRIMATES,PITHECIIDAE,1117.02,316.8,73,2,NA
Callicebus moloch,Callicebus moloch,P,PRIMATES,PITHECIIDAE,958.13,303.6,229,3,9.082
Callimico goeldii,Callimico goeldii,P,PRIMATES,CALLITRICHIDAE,558,214.8,301,5,5.963
Callithrix argentata,Callithrix argentata,P,PRIMATES,CALLITRICHIDAE,382.92,201.6,94,6,8.465
Callithrix jacchus,Callithrix jacchus,P,PRIMATES,CALLITRICHIDAE,290.21,201.6,4147,21,7.214
Callithrix pygmaea,Callithrix pygmaea,P,PRIMATES,CALLITRICHIDAE,123.94,181.2,40,4,7.692
Camelus dromedarius,Camelus dromedarius,U,CETARTIODACTYLA,CAMELIDAE,492714.47,480,3384,1,15.05
Canis adustus,Canis adustus,C,CARNIVORA,CANIDAE,10392.49,137,103,7,NA
Canis aureus,Canis aureus,C,CARNIVORA,CANIDAE,9658.7,192,539,29,NA
Canis latrans,Canis latrans,C,CARNIVORA,CANIDAE,11989.1,262,2452,63,9.286
Canis lupus,Canis lupus,C,CARNIVORA,CANIDAE,31756.51,354,5152,66,9.71
Canis mesomelas,Canis mesomelas,C,CARNIVORA,CANIDAE,8247.3,168,304,12,8.671
Canis simensis,Canis simensis,C,CARNIVORA,CANIDAE,14361.86,144,93,4,NA
Capra hircus,Capra hircus,U,CETARTIODACTYLA,BOVIDAE,47386.47,249.6,3631,1,10.69
Capra ibex,Capra ibex,U,CETARTIODACTYLA,BOVIDAE,69546.83,267.6,878,34,7.025
Capra nubiana,Capra nubiana,U,CETARTIODACTYLA,BOVIDAE,47763.72,204,38,5,6.39
Capra pyrenaica,Capra pyrenaica,U,CETARTIODACTYLA,BOVIDAE,60898.77,192,330,14,NA
Capra sibirica,Capra sibirica,U,CETARTIODACTYLA,BOVIDAE,130000,267,102,1,7.554
Capreolus capreolus,Capreolus capreolus,U,CETARTIODACTYLA,CERVIDAE,22502.01,204,5227,80,NA
Capricornis sumatraensis,Naemorhedus sumatraensis,U,CETARTIODACTYLA,BOVIDAE,110942.22,252,89,1,NA
Caracal caracal,Caracal caracal,C,CARNIVORA,FELIDAE,11964.38,243.6,123,2,8.214
Catopuma temminckii,Catopuma temminckii,C,CARNIVORA,FELIDAE,7726.46,276,17,4,8.766
Cebus albifrons,Cebus albifrons,P,PRIMATES,CEBIDAE,2509.68,528,447,9,6.607
Cebus apella,Cebus apella,P,PRIMATES,CEBIDAE,2758.38,541.2,2729,15,8.739
Cebus capucinus,Cebus capucinus,P,PRIMATES,CEBIDAE,3005.99,657.6,688,20,7.379
Cebus olivaceus,Cebus olivaceus,P,PRIMATES,CEBIDAE,2787.64,492,115,1,NA
Cephalophus natalensis,Cephalophus natalensis,U,CETARTIODACTYLA,BOVIDAE,12724.51,180,62,32,NA
Ceratotherium simum,Ceratotherium simum,U,PERISSODACTYLA,RHINOCEROTIDAE,2285939.43,600,775,26,9.15
Cercocebus galeritus,Cercocebus galeritus,P,PRIMATES,CERCOPITHECIDAE,7077.66,252,154,28,NA
Cercocebus torquatus,Cercocebus torquatus,P,PRIMATES,CERCOPITHECIDAE,7293.07,360,305,9,7.318
Cercopithecus ascanius,Cercopithecus ascanius,P,PRIMATES,CERCOPITHECIDAE,3540.24,339.6,254,23,6.161
Cercopithecus campbelli,Cercopithecus campbelli,P,PRIMATES,CERCOPITHECIDAE,3627.73,396,114,6,7.873
Cercopithecus cephus,Cercopithecus cephus,P,PRIMATES,CERCOPITHECIDAE,3444.88,276,124,7,NA
Cercopithecus diana,Cercopithecus diana,P,PRIMATES,CERCOPITHECIDAE,4358.91,447.6,192,4,6.96
Cercopithecus lhoesti,Cercopithecus lhoesti,P,PRIMATES,CERCOPITHECIDAE,5307.47,192,75,4,NA
Cercopithecus mitis,Cercopithecus mitis,P,PRIMATES,CERCOPITHECIDAE,5041.29,325.2,432,31,6.989
Cercopithecus mona,Cercopithecus mona,P,PRIMATES,CERCOPITHECIDAE,3980.17,360,169,11,7.886
Cercopithecus neglectus,Cercopithecus neglectus,P,PRIMATES,CERCOPITHECIDAE,5324.52,315.6,158,2,7.141
Cercopithecus nictitans,Cercopithecus nictitans,P,PRIMATES,CERCOPITHECIDAE,5256.91,276,183,9,NA
Cercopithecus petaurista,Cercopithecus petaurista,P,PRIMATES,CERCOPITHECIDAE,3233.67,228,60,2,8.262
Cercopithecus pogonias,Cercopithecus pogonias,P,PRIMATES,CERCOPITHECIDAE,3578.27,289.2,86,2,9.209
Cercopithecus preussi,Cercopithecus preussi,P,PRIMATES,CERCOPITHECIDAE,5132.57,312,30,1,NA
Cerdocyon thous,Cerdocyon thous,C,CARNIVORA,CANIDAE,5741.66,152.4,285,9,NA
Cervus elaphus,Cervus elaphus,U,CETARTIODACTYLA,CERVIDAE,240867.13,321.6,10496,130,4.642
Cervus nippon,Cervus nippon,U,CETARTIODACTYLA,CERVIDAE,52999.99,305.04,2003,43,4.214
Cheirogaleus major,Cheirogaleus major,P,PRIMATES,CHEIROGALEIDAE,446.02,180,73,3,NA
Cheirogaleus medius,Cheirogaleus medius,P,PRIMATES,CHEIROGALEIDAE,196.76,231.6,196,6,7.343
Chiropotes albinasus,Chiropotes albinasus,P,PRIMATES,PITHECIIDAE,2793.21,204,14,1,NA
Chiropotes satanas,Chiropotes satanas,P,PRIMATES,PITHECIIDAE,2967.27,216,124,5,NA
Chlorocebus aethiops,Chlorocebus aethiops,P,PRIMATES,CERCOPITHECIDAE,3695.99,379.2,284,46,7.431
Chrotogale owstoni,Chrotogale owstoni,C,CARNIVORA,VIVERRIDAE,3267.71,152.4,29,1,NA
Chrysocyon brachyurus,Chrysocyon brachyurus,C,CARNIVORA,CANIDAE,23325,201.6,343,6,10.36
Civettictis civetta,Civettictis civetta,C,CARNIVORA,VIVERRIDAE,12075.58,336,90,2,NA
Colobus angolensis,Colobus angolensis,P,PRIMATES,CERCOPITHECIDAE,8990.31,423.6,92,6,7.048
Colobus guereza,Colobus guereza,P,PRIMATES,CERCOPITHECIDAE,9925.88,294,407,19,6.936
Colobus polykomos,Colobus polykomos,P,PRIMATES,CERCOPITHECIDAE,8797.29,366,194,12,NA
Conepatus chinga,Conepatus chinga,C,CARNIVORA,MEPHITIDAE,3400,120,52,1,NA
Conepatus leuconotus,Conepatus leuconotus,C,CARNIVORA,MEPHITIDAE,3293.91,122.4,19,1,NA
Connochaetes gnou,Connochaetes gnou,U,CETARTIODACTYLA,BOVIDAE,156547.53,240,131,22,NA
Connochaetes taurinus,Connochaetes taurinus,U,CETARTIODACTYLA,BOVIDAE,198619.68,258,652,57,6.929
Crocuta crocuta,Crocuta crocuta,C,CARNIVORA,HYAENIDAE,63369.98,493.2,1038,8,11.9
Cynictis penicillata,Cynictis penicillata,C,CARNIVORA,HERPESTIDAE,694.41,182.4,116,23,NA
Dama dama,Dama dama,U,CETARTIODACTYLA,CERVIDAE,57224.61,300,2137,44,3.706
Damaliscus lunatus,Damaliscus lunatus,U,CETARTIODACTYLA,BOVIDAE,136000.33,216,181,45,4.932
Damaliscus pygargus,Damaliscus pygargus,U,CETARTIODACTYLA,BOVIDAE,77784.55,260.04,94,30,4.224
Daubentonia madagascariensis,Daubentonia madagascariensis,P,PRIMATES,DAUBENTONIIDAE,2731.37,291.6,209,5,13.43
Diceros bicornis,Diceros bicornis,U,PERISSODACTYLA,RHINOCEROTIDAE,995940.54,564,1167,38,8.155
Eira barbara,Eira barbara,C,CARNIVORA,MUSTELIDAE,4134.99,267.6,109,1,6.665
Equus burchellii,Equus burchellii,U,PERISSODACTYLA,EQUIDAE,279160.65,480,239,37,8.76
Equus grevyi,Equus grevyi,U,PERISSODACTYLA,EQUIDAE,408000.35,372,227,1,8.721
Equus zebra,Equus zebra,U,PERISSODACTYLA,EQUIDAE,282462.13,288,337,46,9.698
Erythrocebus patas,Erythrocebus patas,P,PRIMATES,CERCOPITHECIDAE,7966.3,286.8,1095,15,7.106
Eudorcas thomsonii,Gazella thomsonii,U,CETARTIODACTYLA,BOVIDAE,22907.43,182.04,134,3,3.552
Eulemur coronatus,Eulemur coronatus,P,PRIMATES,LEMURIDAE,1699.85,220.8,66,1,6.518
Eulemur fulvus,Eulemur fulvus,P,PRIMATES,LEMURIDAE,2376.99,444,482,21,8.311
Eulemur macaco,Eulemur macaco,P,PRIMATES,LEMURIDAE,2470.43,360,191,14,9.128
Eulemur mongoz,Eulemur mongoz,P,PRIMATES,LEMURIDAE,1771.13,360,90,4,7.204
Eulemur rubriventer,Eulemur rubriventer,P,PRIMATES,LEMURIDAE,2015.4,240,109,2,9.552
Euoticus elegantulus,Euoticus elegantulus,P,PRIMATES,GALAGIDAE,295.48,180,39,1,NA
Felis manul,Otocolobus manul,C,CARNIVORA,FELIDAE,3050,190.8,142,3,8.406
Felis silvestris,Felis silvestris,C,CARNIVORA,FELIDAE,4573.08,336,1059,38,8.037
Galago demidoff,Galagoides demidoff,P,PRIMATES,GALAGIDAE,66.04,168,28,4,NA
Galago moholi,Galago moholi,P,PRIMATES,GALAGIDAE,191.96,198,92,4,6.605
Galago senegalensis,Galago senegalensis,P,PRIMATES,GALAGIDAE,215.2,204,649,4,6.006
Galerella sanguinea,Galerella sanguinea,C,CARNIVORA,HERPESTIDAE,543.83,151.2,48,4,NA
Galictis cuja,Galictis cuja,C,CARNIVORA,MUSTELIDAE,1000,87,51,3,NA
Galictis vittata,Galictis vittata,C,CARNIVORA,MUSTELIDAE,2964.28,150,30,1,NA
Gazella gazella,Gazella gazella,U,CETARTIODACTYLA,BOVIDAE,21306.83,219,306,1,NA
Gazella spekei,Gazella spekei,U,CETARTIODACTYLA,BOVIDAE,20000,152.04,49,3,3.907
Genetta genetta,Genetta genetta,C,CARNIVORA,VIVERRIDAE,1756.17,408,339,35,NA
Genetta tigrina,Genetta tigrina,C,CARNIVORA,VIVERRIDAE,2066.57,180,83,1,NA
Giraffa camelopardalis,Giraffa camelopardalis,U,CETARTIODACTYLA,GIRAFFIDAE,964654.73,435.6,1053,19,12.57
Gorilla gorilla,Gorilla gorilla,P,PRIMATES,HOMINIDAE,112588.99,648,4373,76,8.231
Gulo gulo,Gulo gulo,C,CARNIVORA,MUSTELIDAE,12792.49,216,544,7,5.249
Hapalemur griseus,Hapalemur griseus,P,PRIMATES,LEMURIDAE,916,205.2,264,3,7.416
Helogale parvula,Helogale parvula,C,CARNIVORA,HERPESTIDAE,281.83,216,76,4,13.22
Herpestes ichneumon,Herpestes ichneumon,C,CARNIVORA,HERPESTIDAE,2980.02,240,195,11,NA
Herpestes javanicus,Herpestes javanicus,C,CARNIVORA,HERPESTIDAE,750,199.2,143,1,NA
Hippopotamus amphibius,Hippopotamus amphibius,U,CETARTIODACTYLA,HIPPOPOTAMIDAE,1536310.4,654,775,4,NA
Hippotragus equinus,Hippotragus equinus,U,CETARTIODACTYLA,BOVIDAE,264173.96,240,257,6,6.11
Hippotragus niger,Hippotragus niger,U,CETARTIODACTYLA,BOVIDAE,236405.9,267,289,15,5.43
Hyaena hyaena,Hyaena hyaena,C,CARNIVORA,HYAENIDAE,35070.51,288,254,1,10.6
Hylobates lar,Hylobates lar,P,PRIMATES,HYLOBATIDAE,5578.61,480,978,5,8.475
Hylobates moloch,Hylobates moloch,P,PRIMATES,HYLOBATIDAE,5860.81,540,121,1,NA
Ichneumia albicauda,Ichneumia albicauda,C,CARNIVORA,HERPESTIDAE,3628.4,177.6,60,1,NA
Ictonyx striatus,Ictonyx striatus,C,CARNIVORA,MUSTELIDAE,811.02,160,55,1,NA
Kobus ellipsiprymnus,Kobus ellipsiprymnus,U,CETARTIODACTYLA,BOVIDAE,204393.48,239.04,315,25,6.163
Kobus kob,Kobus kob,U,CETARTIODACTYLA,BOVIDAE,80035.21,263.04,122,1,6.421
Kobus leche,Kobus leche,U,CETARTIODACTYLA,BOVIDAE,88645.04,222.96,177,7,3.898
Lagothrix lagotricha,Lagothrix lagotricha,P,PRIMATES,ATELIDAE,6263.69,360,217,6,12.7
Lama glama,Lama glama,U,CETARTIODACTYLA,CAMELIDAE,78322.67,346.8,1019,1,13.36
Lemur catta,Lemur catta,P,PRIMATES,LEMURIDAE,2626.48,360,1110,9,8.642
Leontopithecus chrysomelas,Leontopithecus chrysomelas,P,PRIMATES,CALLITRICHIDAE,572.8,255.6,178,3,8.396
Leontopithecus chrysopygus,Leontopithecus chrysopygus,P,PRIMATES,CALLITRICHIDAE,656.12,214.8,103,1,7.121
Leontopithecus rosalia,Leontopithecus rosalia,P,PRIMATES,CALLITRICHIDAE,592.52,297.6,468,8,8.157
Leopardus colocolo,Oncifelis colocolo,C,CARNIVORA,FELIDAE,2950,235.2,41,1,8.392
Leopardus geoffroyi,Oncifelis geoffroyi,C,CARNIVORA,FELIDAE,4000,276,96,1,9.804
Leopardus pardalis,Leopardus pardalis,C,CARNIVORA,FELIDAE,11880,338.4,322,6,10.16
Leopardus tigrinus,Leopardus tigrinus,C,CARNIVORA,FELIDAE,2205,262.8,108,1,NA
Leopardus wiedii,Leopardus wiedii,C,CARNIVORA,FELIDAE,3270.81,240,100,1,9.665
Lepilemur mustelinus,Lepilemur mustelinus,P,PRIMATES,LEPILEMURIDAE,669.03,144,61,5,NA
Lepilemur ruficaudatus,Lepilemur ruficaudatus,P,PRIMATES,LEPILEMURIDAE,763.36,91.2,53,6,NA
Leptailurus serval,Leptailurus serval,C,CARNIVORA,FELIDAE,11999.96,276,90,4,9.101
Lontra canadensis,Lontra canadensis,C,CARNIVORA,MUSTELIDAE,8087.42,300,191,89,7.33
Lontra longicaudis,Lontra longicaudis,C,CARNIVORA,MUSTELIDAE,6554.97,178.8,93,1,NA
Lophocebus albigena,Lophocebus albigena,P,PRIMATES,CERCOPITHECIDAE,7418.71,392.4,132,15,7.974
Lophocebus aterrimus,Lophocebus aterrimus,P,PRIMATES,CERCOPITHECIDAE,6510.37,321.6,17,3,NA
Lutra lutra,Lutra lutra,C,CARNIVORA,MUSTELIDAE,8868.69,264,2609,46,NA
